05:25:26,05:26:16,50,1
05:55:52,05:57:16,84,1
06:16:18,06:17:16,58,1
06:42:30,06:43:16,46,1
06:45:18,06:46:16,58,1
06:49:46,06:51:16,90,1
06:53:01,06:54:16,75,1
06:59:29,07:05:40,371,4
07:21:24,07:22:16,52,1
07:24:15,07:25:16,61,1
07:31:27,07:32:16,49,1
07:34:33,07:35:16,43,1
07:58:26,07:59:16,50,1
08:02:04,08:03:16,72,1
08:11:22,08:15:32,250,3
08:35:42,08:36:16,34,1
08:46:18,08:47:16,58,1
08:58:34,08:59:16,42,1
09:07:35,09:15:48,493,5
09:29:39,09:30:16,37,1
09:36:12,09:37:16,64,1
09:44:30,09:45:16,46,1
09:47:14,09:48:16,62,1
09:54:10,09:55:16,66,1
10:10:18,10:11:16,58,1
10:15:11,10:18:32,201,3
10:24:02,10:27:24,202,2
10:29:24,10:30:16,52,1
10:35:34,10:36:16,42,1
10:46:01,10:47:16,75,1
10:49:42,10:51:16,94,1
11:09:26,11:12:32,186,3
11:21:09,11:22:16,67,1
11:26:15,11:27:16,61,1
11:29:19,11:30:16,57,1
11:33:57,11:35:16,79,1
11:38:54,11:40:16,82,1
11:48:22,11:49:16,54,1
11:53:16,11:56:24,188,2
11:58:13,11:59:16,63,1
12:09:30,12:10:16,46,1
12:17:22,12:18:16,54,1
12:20:09,12:23:24,195,2
12:27:41,12:29:16,95,1
12:32:09,12:34:24,135,2
12:36:53,12:38:16,83,1
12:47:06,12:48:16,70,1
13:07:27,13:08:16,49,1
13:14:05,13:15:16,71,1
13:19:33,13:20:16,43,1
13:26:19,13:27:16,57,1
13:29:22,13:30:24,62,2
13:36:05,13:37:16,71,1
13:44:27,13:45:16,49,1
13:52:18,13:54:24,126,2
14:01:27,14:02:16,49,1
14:18:33,14:19:16,43,1
14:28:56,14:30:16,80,1
14:35:35,14:37:24,109,2
14:40:08,14:41:16,68,1
14:43:33,14:44:16,43,1
14:48:24,14:49:16,52,1
14:55:35,14:58:24,169,2
15:11:07,15:12:16,69,1
15:16:20,15:17:16,56,1
15:21:08,15:22:16,68,1
15:26:02,15:27:16,74,1
15:29:16,15:30:16,60,1
15:34:49,15:36:16,87,1
15:40:48,15:42:16,88,1
15:47:10,15:48:16,66,1
15:51:10,15:52:16,66,1
15:57:12,16:00:24,192,2
16:22:33,16:23:16,43,1
16:28:56,16:30:16,80,1
16:33:22,16:34:16,54,1
16:36:12,16:37:16,64,1
16:44:17,16:45:24,67,2
16:48:12,16:49:16,64,1
17:09:30,17:10:16,46,1
17:17:37,17:23:40,363,4
17:28:37,17:29:16,39,1
17:31:02,17:32:16,74,1
17:42:49,17:44:16,87,1
17:47:19,17:48:16,57,1
18:01:09,18:02:16,67,1
18:04:41,18:05:16,35,1
18:09:34,18:10:16,42,1
18:17:08,18:18:16,68,1
18:23:27,18:25:24,117,2
18:26:48,18:28:16,88,1
18:30:24,18:31:16,52,1
18:34:13,18:35:16,63,1
18:44:11,18:45:16,65,1
18:56:06,18:57:16,70,1
19:14:17,19:15:16,59,1
19:17:29,19:18:16,47,1
19:22:30,19:23:16,46,1
19:25:29,19:28:32,183,3
19:30:49,19:32:16,87,1
19:56:20,19:57:16,56,1
20:01:21,20:04:24,183,2
20:18:38,20:19:16,38,1
20:22:25,20:23:16,51,1
20:25:24,20:31:40,376,4
20:33:23,20:34:16,53,1
20:44:11,20:48:24,253,2
20:56:01,20:57:16,75,1
21:02:28,21:03:16,48,1
21:19:29,21:20:16,47,1
21:28:30,21:29:16,46,1
21:39:24,21:40:16,52,1
22:10:23,22:11:16,53,1
22:16:24,22:17:16,52,1
22:20:33,22:21:16,43,1
22:25:03,22:26:16,73,1
22:43:07,22:44:16,69,1
23:35:37,23:37:16,99,1
