05:25:36,05:26:16,40,1
05:56:18,05:57:16,58,1
06:18:11,06:19:16,65,1
06:42:33,06:43:16,43,1
06:45:18,06:46:16,58,1
06:50:25,06:51:16,51,1
06:53:39,06:54:16,37,1
07:03:28,07:10:40,432,4
07:22:20,07:25:24,184,2
07:28:49,07:30:16,87,1
07:34:33,07:35:16,43,1
08:00:23,08:03:24,181,2
08:05:07,08:06:16,69,1
08:12:56,08:14:16,80,1
08:22:03,08:23:16,73,1
08:26:37,08:27:16,39,1
08:34:54,08:36:16,82,1
09:04:58,09:06:16,78,1
09:09:04,09:17:40,516,4
09:20:00,09:21:16,76,1
09:31:23,09:32:16,53,1
09:36:28,09:37:16,48,1
09:47:32,09:49:24,112,2
10:02:09,10:03:16,67,1
10:13:28,10:14:16,48,1
10:17:32,10:20:24,172,2
10:22:22,10:23:16,54,1
10:26:26,10:30:32,246,3
10:34:48,10:36:16,88,1
10:48:12,10:49:16,64,1
11:00:21,11:01:16,55,1
11:09:10,11:10:16,66,1
11:12:19,11:13:16,57,1
11:16:33,11:17:16,43,1
11:26:19,11:30:32,253,3
11:34:19,11:35:16,57,1
11:39:17,11:40:16,59,1
11:48:18,11:49:16,58,1
11:53:32,11:56:24,172,2
12:09:22,12:10:16,54,1
12:19:54,12:21:16,82,1
12:23:26,12:26:24,178,2
12:28:22,12:29:24,62,2
12:33:17,12:34:16,59,1
12:39:28,12:42:24,176,2
12:50:07,12:51:16,69,1
13:08:57,13:10:16,79,1
13:14:09,13:15:16,67,1
13:19:32,13:20:16,44,1
13:22:47,13:30:32,465,3
13:36:33,13:37:16,43,1
13:43:26,13:44:16,50,1
13:56:33,13:58:32,119,3
14:21:44,14:23:16,92,1
14:29:32,14:30:16,44,1
14:34:12,14:36:24,132,2
14:40:12,14:44:24,252,2
14:47:50,14:49:16,86,1
14:59:21,15:00:16,55,1
15:11:23,15:12:16,53,1
15:16:27,15:17:16,49,1
15:21:34,15:22:16,42,1
15:25:17,15:27:24,127,2
15:35:39,15:37:24,105,2
15:41:20,15:42:16,56,1
15:52:15,15:55:24,189,2
15:59:32,16:01:24,112,2
16:22:11,16:23:16,65,1
16:29:21,16:30:16,55,1
16:33:20,16:34:16,56,1
16:37:11,16:38:16,65,1
16:42:30,16:45:24,174,2
16:55:18,16:56:16,58,1
17:08:30,17:09:16,46,1
17:19:24,17:25:40,376,4
17:30:08,17:31:16,68,1
17:33:31,17:34:16,45,1
17:47:06,17:48:16,70,1
17:53:06,17:54:16,70,1
18:01:27,18:02:16,49,1
18:09:23,18:10:16,53,1
18:19:07,18:20:16,69,1
18:23:37,18:24:16,39,1
18:27:34,18:29:24,110,2
18:32:26,18:35:24,178,2
18:48:20,18:49:16,56,1
19:05:37,19:06:16,39,1
19:14:02,19:15:16,74,1
19:20:15,19:23:24,189,2
19:25:04,19:32:40,456,4
19:59:21,20:03:32,251,3
20:18:40,20:19:16,36,1
20:23:25,20:27:32,247,3
20:32:30,20:36:32,242,3
20:47:17,20:49:24,127,2
20:58:01,21:01:24,203,2
21:19:29,21:20:16,47,1
21:28:23,21:29:16,53,1
21:39:35,21:40:16,41,1
22:07:16,22:08:16,60,1
22:19:15,22:20:16,61,1
23:39:07,23:40:16,69,1
