10:52:29,10:55:24,175,2
11:08:46,11:10:16,90,1
11:13:36,11:14:16,40,1
11:16:00,11:18:24,144,2
11:28:17,11:29:16,59,1
11:34:26,11:37:24,178,2
11:39:00,11:40:16,76,1
11:55:36,11:57:24,108,2
12:00:09,12:01:16,67,1
12:03:23,12:04:16,53,1
12:09:29,12:10:16,47,1
12:18:18,12:19:16,58,1
12:28:33,12:29:24,51,2
12:34:52,12:38:32,220,3
12:42:59,12:44:16,77,1
13:07:50,13:09:16,86,1
13:13:42,13:15:16,94,1
13:22:13,13:23:16,63,1
13:25:29,13:26:24,55,2
13:36:37,13:37:16,39,1
13:51:47,13:56:32,285,3
14:06:27,14:07:16,49,1
14:24:28,14:25:16,48,1
14:28:33,14:29:16,43,1
14:35:24,14:37:24,120,2
14:40:13,14:41:16,63,1
14:43:06,14:46:24,198,2
15:02:23,15:03:16,53,1
15:11:15,15:12:16,61,1
15:18:31,15:19:16,45,1
15:22:23,15:23:16,53,1
15:27:24,15:28:24,60,2
15:29:57,15:31:16,79,1
15:35:18,15:36:16,58,1
15:41:28,15:42:16,48,1
15:51:13,15:52:16,63,1
15:54:37,15:55:16,39,1
16:00:51,16:03:24,153,2
16:19:11,16:20:16,65,1
16:28:14,16:29:16,62,1
16:32:56,16:34:16,80,1
16:39:31,16:45:40,369,4
17:07:51,17:09:16,85,1
17:15:18,17:16:16,58,1
17:18:27,17:19:16,49,1
17:21:15,17:23:24,129,2
17:25:31,17:26:16,45,1
17:49:05,17:50:16,71,1
17:53:52,17:55:16,84,1
17:59:33,18:00:16,43,1
18:03:11,18:04:16,65,1
18:11:27,18:12:16,49,1
18:17:30,18:18:16,46,1
18:22:27,18:26:32,245,3
18:30:10,18:31:16,66,1
18:34:18,18:35:16,58,1
18:54:10,18:55:16,66,1
19:08:47,19:10:16,89,1
19:14:07,19:15:16,69,1
19:20:32,19:21:16,44,1
19:24:14,19:26:24,130,2
19:31:00,19:32:16,76,1
19:47:28,19:48:16,48,1
19:59:19,20:02:24,185,2
20:04:56,20:06:16,80,1
20:18:10,20:19:24,74,2
20:21:07,20:25:40,273,4
20:28:31,20:32:48,257,5
20:38:25,20:39:16,51,1
20:47:29,20:48:24,55,2
20:51:22,20:52:16,54,1
20:56:08,20:57:16,68,1
21:02:35,21:06:32,237,3
21:19:06,21:20:16,70,1
21:24:08,21:25:24,76,2
21:28:06,21:29:24,78,2
21:32:55,21:34:16,81,1
21:39:02,21:42:32,210,3
22:09:10,22:10:16,66,1
22:16:09,22:17:16,67,1
22:20:15,22:21:16,61,1
22:25:27,22:26:16,49,1
22:43:00,22:44:16,76,1
23:39:23,23:40:24,61,2
